"","Day","Station","Hour","Mean","Variance"
"1","Weekend","North Ave",4,323.794990384615,860.415253822517
"2","Weekend","North Ave",5,1632.945875,15619.3733477708
"3","Weekend","North Ave",6,2504.66174038462,41408.4149372152
"4","Weekend","North Ave",7,2790.93024038462,37551.1387846773
"5","Weekend","North Ave",8,3047.30136538462,21999.6994252977
"6","Weekend","North Ave",9,2810.34988461538,11349.8730458876
"7","Weekend","North Ave",10,2628.20415384615,6940.18263013161
"8","Weekend","North Ave",11,2726.76029807692,5079.01682988082
"9","Weekend","North Ave",12,2715.35063461538,5172.67498923146
"10","Weekend","North Ave",13,2356.63541346154,3720.79936964618
"11","Weekend","North Ave",14,2044.200125,1935.68999380584
"12","Weekend","North Ave",15,1924.27402884615,1326.12321863274
"13","Weekend","North Ave",16,2029.60845192308,1583.55130492539
"14","Weekend","North Ave",17,2193.39125961538,2522.6030469744
"15","Weekend","North Ave",18,2238.61129807692,2551.15215348253
"16","Weekend","North Ave",19,2205.10186538462,1696.11994494161
"17","Weekend","North Ave",20,1930.15728846154,1343.36330004524
"18","Weekend","North Ave",21,292.258375,164.698942133609
"19","Weekend","North Ave",22,1.78575961538462,3.04707999780476
"20","Weekend","North Ave",23,0.009,8.66162020008174e-05
"21","Weekend","Quezon Ave",4,88.6791153846154,33.5453807742654
"22","Weekend","Quezon Ave",5,575.395951923077,1998.38210001412
"23","Weekend","Quezon Ave",6,874.368875,3816.68823235504
"24","Weekend","Quezon Ave",7,820.279019230769,1902.34432617492
"25","Weekend","Quezon Ave",8,916.332346153846,1456.94590225433
"26","Weekend","Quezon Ave",9,927.891615384615,940.025258247893
"27","Weekend","Quezon Ave",10,929.114125,942.300746922866
"28","Weekend","Quezon Ave",11,992.754153846154,953.663246954055
"29","Weekend","Quezon Ave",12,1018.37182692308,1011.36114360477
"30","Weekend","Quezon Ave",13,892.140115384615,694.611124698663
"31","Weekend","Quezon Ave",14,807.455461538462,551.113086327452
"32","Weekend","Quezon Ave",15,800.788298076923,562.681912562618
"33","Weekend","Quezon Ave",16,900.178798076923,961.840284161288
"34","Weekend","Quezon Ave",17,987.164605769231,1986.08643858716
"35","Weekend","Quezon Ave",18,886.233634615385,1640.44601028506
"36","Weekend","Quezon Ave",19,704.12075,716.630788576668
"37","Weekend","Quezon Ave",20,527.440451923077,310.860627431333
"38","Weekend","Quezon Ave",21,116.58875,22.076194084247
"39","Weekend","Quezon Ave",22,3.33965384615385,0.267654583577661
